TABLE 4   HOURLY CUMULATIVE STRAIN DATA FROM BOREHOLE VOLUME STRAINMETERS

2023 MARCH
                                                                          UNIT: 1.0E-06
                                                             +/-: EXPANSION/CONTRACTION

DATE HOUR | IRAKO          GAMAGO         MIKKAB         TENRYU         KAWANE         
          | * 11           * 03           * 10           * 03           * 03           
---------------------------------------------------------------------------------------
   1   00 |   -9.889        -11.638        -36.124        -55.257         10.110       
   1   01 |   -9.898        -11.648        -36.134        -55.262         10.103       
   1   02 |   -9.901        -11.652        -36.140        -55.263         10.099       
   1   03 |   -9.903        -11.654        -36.144        -55.261         10.098       
   1   04 |   -9.905        -11.656        -36.146        -55.259         10.099       
   1   05 |   -9.905        -11.657        -36.148        -55.262         10.099       
   1   06 |   -9.904        -11.657        -36.147        -55.263         10.101       
   1   07 |   -9.902        -11.654        -36.145        -55.264         10.103       
   1   08 |   -9.899        -11.650        -36.142        -55.263         10.105       
   1   09 |   -9.896        -11.647        -36.139        -55.259         10.109       
   1   10 |   -9.893        -11.643        -36.136        -55.253         10.115       
   1   11 |   -9.889        -11.640        -36.132        -55.244         10.122       
   1   12 |   -9.883        -11.634        -36.126        -55.233         10.130       
   1   13 |   -9.876        -11.627        -36.120        -55.220         10.139       
   1   14 |   -9.870        -11.620        -36.114        -55.209         10.148       
   1   15 |   -9.862        -11.614        -36.108        -55.202         10.154       
   1   16 |   -9.853        -11.608        -36.101        -55.195         10.160       
   1   17 |   -9.843        -11.599        -36.094        -55.189         10.167       
   1   18 |   -9.832        -11.590        -36.085        -55.184         10.172       
   1   19 |   -9.822        -11.581        -36.076        -55.179         10.177       
   1   20 |   -9.814        -11.574        -36.068        -55.172         10.184       
   1   21 |   -9.810        -11.570        -36.063        -55.168         10.188       
   1   22 |   -9.810        -11.568        -36.061        -55.162         10.190       
   1   23 |   -9.812        -11.570        -36.061        -55.160         10.190       
   2   00 |   -9.817        -11.573        -36.067        -55.159         10.188       
   2   01 |   -9.824        -11.578        -36.073        -55.157         10.183       
   2   02 |   -9.829        -11.581        -36.078        -55.156         10.182       
   2   03 |   -9.836        -11.585        -36.082        -55.163         10.180       
   2   04 |   -9.839        -11.588        -36.090        -55.165         10.178       
   2   05 |   -9.840        -11.591        -36.092        -55.167         10.177       
   2   06 |   -9.839        -11.590        -36.093        -55.165         10.181       
   2   07 |   -9.836        -11.589        -36.091        -55.165         10.186       
   2   08 |   -9.834        -11.588        -36.089        -55.164         10.189       
   2   09 |   -9.833        -11.586        -36.085        -55.161         10.194       
   2   10 |   -9.834        -11.585        -36.082        -55.159         10.197       
   2   11 |   -9.837        -11.586        -36.081        -55.158         10.200       
   2   12 |   -9.840        -11.588        -36.081        -55.159         10.200       
   2   13 |   -9.843        -11.590        -36.083        -55.158         10.201       
   2   14 |   -9.846        -11.593        -36.084        -55.159         10.199       
   2   15 |   -9.847        -11.591        -36.085        -55.158         10.198       
   2   16 |   -9.845        -11.588        -36.082        -55.154         10.201       
   2   17 |   -9.840        -11.587        -36.078        -55.152         10.204       
   2   18 |   -9.836        -11.586        -36.076        -55.156         10.203       
   2   19 |   -9.832        -11.584        -36.073        -55.163         10.201       
   2   20 |   -9.829        -11.583        -36.072        -55.173         10.199       
   2   21 |   -9.827        -11.583        -36.072        -55.181         10.197       
   2   22 |   -9.830        -11.585        -36.073        -55.187         10.191       
   2   23 |   -9.836        -11.591        -36.078        -55.189         10.182       
   3   00 |   -9.846        -11.601        -36.085        -55.198         10.168       
   3   01 |   -9.862        -11.615        -36.094        -55.214         10.150       
   3   02 |   -9.877        -11.628        -36.108        -55.229         10.132       
   3   03 |   -9.889        -11.636        -36.121        -55.240         10.119       
   3   04 |   -9.898        -11.644        -36.131        -55.250         10.108       
   3   05 |   -9.903        -11.650        -36.138        -55.258         10.100       
   3   06 |   -9.903        -11.652        -36.142        -55.264         10.096       
   3   07 |   -9.901        -11.652        -36.142        -55.268         10.096       
   3   08 |   -9.898        -11.650        -36.140        -55.272         10.096       
   3   09 |   -9.894        -11.648        -36.138        -55.273         10.098       
